year_month,direction_code,NZ_area,Count,geo_level,period
2015-02,A,Area Outside Region,3,Regional council areas,Monthly
2015-03,A,Area Outside Region,6,Regional council areas,Monthly
2015-04,A,Area Outside Region,3,Regional council areas,Monthly
2015-05,A,Area Outside Region,9,Regional council areas,Monthly
2015-06,A,Area Outside Region,3,Regional council areas,Monthly
2015-07,A,Area Outside Region,3,Regional council areas,Monthly
2015-09,A,Area Outside Region,9,Regional council areas,Monthly
2015-10,A,Area Outside Region,6,Regional council areas,Monthly
2015-11,A,Area Outside Region,3,Regional council areas,Monthly
2016-01,A,Area Outside Region,3,Regional council areas,Monthly
2016-02,A,Area Outside Region,3,Regional council areas,Monthly
2016-03,A,Area Outside Region,9,Regional council areas,Monthly
2016-04,A,Area Outside Region,9,Regional council areas,Monthly
2016-05,A,Area Outside Region,3,Regional council areas,Monthly
2016-06,A,Area Outside Region,9,Regional council areas,Monthly
2016-07,A,Area Outside Region,3,Regional council areas,Monthly
2016-08,A,Area Outside Region,6,Regional council areas,Monthly
2016-09,A,Area Outside Region,30,Regional council areas,Monthly
2016-10,A,Area Outside Region,6,Regional council areas,Monthly
2016-11,A,Area Outside Region,3,Regional council areas,Monthly
2017-03,A,Area Outside Region,3,Regional council areas,Monthly
2017-04,A,Area Outside Region,3,Regional council areas,Monthly
2017-05,A,Area Outside Region,3,Regional council areas,Monthly
2017-06,A,Area Outside Region,3,Regional council areas,Monthly
2017-07,A,Area Outside Region,18,Regional council areas,Monthly
2017-08,A,Area Outside Region,6,Regional council areas,Monthly
2017-09,A,Area Outside Region,3,Regional council areas,Monthly
2017-10,A,Area Outside Region,6,Regional council areas,Monthly
2017-11,A,Area Outside Region,12,Regional council areas,Monthly
2017-12,A,Area Outside Region,6,Regional council areas,Monthly
2018-01,A,Area Outside Region,6,Regional council areas,Monthly
2018-03,A,Area Outside Region,3,Regional council areas,Monthly
2018-04,A,Area Outside Region,12,Regional council areas,Monthly
2018-05,A,Area Outside Region,6,Regional council areas,Monthly
2018-07,A,Area Outside Region,6,Regional council areas,Monthly
2018-08,A,Area Outside Region,9,Regional council areas,Monthly
2018-09,A,Area Outside Region,6,Regional council areas,Monthly
2018-10,A,Area Outside Region,9,Regional council areas,Monthly
2018-11,A,Area Outside Region,9,Regional council areas,Monthly
2018-12,A,Area Outside Region,12,Regional council areas,Monthly
2019-01,A,Area Outside Region,3,Regional council areas,Monthly
2019-02,A,Area Outside Region,3,Regional council areas,Monthly
2019-03,A,Area Outside Region,3,Regional council areas,Monthly
2019-04,A,Area Outside Region,3,Regional council areas,Monthly
2019-05,A,Area Outside Region,9,Regional council areas,Monthly
2015-01,A,Bay of Plenty Region,9555,Regional council areas,Monthly
2015-02,A,Bay of Plenty Region,5913,Regional council areas,Monthly
2015-03,A,Bay of Plenty Region,8175,Regional council areas,Monthly
2015-04,A,Bay of Plenty Region,9780,Regional council areas,Monthly
2015-05,A,Bay of Plenty Region,9723,Regional council areas,Monthly
2015-06,A,Bay of Plenty Region,10152,Regional council areas,Monthly
2015-07,A,Bay of Plenty Region,13323,Regional council areas,Monthly
2015-08,A,Bay of Plenty Region,12357,Regional council areas,Monthly
2015-09,A,Bay of Plenty Region,11907,Regional council areas,Monthly
2015-10,A,Bay of Plenty Region,14751,Regional council areas,Monthly
2015-11,A,Bay of Plenty Region,9675,Regional council areas,Monthly
2015-12,A,Bay of Plenty Region,7164,Regional council areas,Monthly
2016-01,A,Bay of Plenty Region,9912,Regional council areas,Monthly
2016-02,A,Bay of Plenty Region,6432,Regional council areas,Monthly
2016-03,A,Bay of Plenty Region,7923,Regional council areas,Monthly
2016-04,A,Bay of Plenty Region,9966,Regional council areas,Monthly
2016-05,A,Bay of Plenty Region,10845,Regional council areas,Monthly
2016-06,A,Bay of Plenty Region,11169,Regional council areas,Monthly
2016-07,A,Bay of Plenty Region,14655,Regional council areas,Monthly
2016-08,A,Bay of Plenty Region,13131,Regional council areas,Monthly
2016-09,A,Bay of Plenty Region,13119,Regional council areas,Monthly
2016-10,A,Bay of Plenty Region,15642,Regional council areas,Monthly
2016-11,A,Bay of Plenty Region,10845,Regional council areas,Monthly
2016-12,A,Bay of Plenty Region,7764,Regional council areas,Monthly
